ファイル名: MELSEC_iQ-R_プログラミングマニュアル（CPUユニット用命令_汎用FUN_汎用FB編）_page1616

<overview>
このPDFページは主に表形式で構成されており、「互換用ファンクション（汎用ファンクション）」に関する情報を提供しています。ページ全体はテキスト説明と表の2つのセクションに分かれており、グラフや図は含まれていません。テキスト部分では互換用ファンクションの概要が説明されており、表部分ではGX Works2のファンクション名とそれに対応する互換用ファンクション名、使用可能なプログラム種別（ST、FBD）、および参照先ページが一覧で示されています。
</overview>

<contents>
### テキスト
#### 互換用ファンクション（汎用ファンクション）
ST（インラインST含む）、構造化ラダー/FBDのプログラムで使用されている汎用ファンクションが互換用ファンクションに置き換えられます。

### 表
#### 互換用ファンクション一覧
| GX Works2ファンクション名 | 互換用ファンクション名 | 使用プログラム | 参照先 |
| DINT_TO_WORD_E            | DINT_TO_WORD_E_M2      | ST:〇 / FBD:×  | 1349ページ DINT_TO_WORD(_E) |
| DIV_E                     | DIV_E_M2               | ST:〇 / FBD:×  | 1436ページ DIV(_E) |
| DIV_TIME_E                | DIV_TIME_E_M2          | ST:〇 / FBD:×  | 1492ページ DIV_TIME(_E) |
| DWORD_TO_BOOL_E           | DWORD_TO_BOOL_E_M2     | ST:〇 / FBD:×  | 1328ページ DWORD_TO_BOOL(_E) |
| DWORD_TO_DINT_E           | DWORD_TO_DINT_E_M2     | ST:〇 / FBD:×  | 1333ページ DWORD_TO_DINT(_E) |
| DWORD_TO_INT_E            | DWORD_TO_INT_E_M2      | ST:〇 / FBD:×  | 1331ページ DWORD_TO_INT(_E) |
| DWORD_TO_STR_E            | DWORD_TO_STR_E_M2      | ST:〇 / FBD:×  | 1335ページ DWORD_TO_STRING(_E) |
| DWORD_TO_TIME_E           | DWORD_TO_TIME_E_M2     | ST:〇 / FBD:×  | 1334ページ DWORD_TO_TIME(_E) |
| DWORD_TO_WORD_E           | DWORD_TO_WORD_E_M2     | ST:〇 / FBD:×  | 1329ページ DWORD_TO_WORD(_E) |
| EQ_E                      | EQ_E_M2                | ST:〇 / FBD:×  | 1464ページ GT(_E), GE(_E), EQ(_E), LE(_E), LT(_E) |
| EXP_E                     | EXP_E_M2               | ST:〇 / FBD:×  | 1421ページ EXP(_E) |
| EXPT_E                    | EXPT_E_M2              | ST:〇 / FBD:×  | 1440ページ EXPT(_E) |
| FIND_E                    | FIND_E_M2              | ST:〇 / FBD:×  | 1484ページ FIND(_E) |
| GE_E                      | GE_E_M2                | ST:〇 / FBD:×  | 1464ページ GT(_E), GE(_E), EQ(_E), LE(_E), LT(_E) |
| GET_BIT_OF_INT_E          | GET_BIT_OF_INT_E_M2    | ST:〇 / FBD:×  | 1408ページ GET_BIT_OF_INT(_E) |
| GT_E                      | GT_E_M2                | ST:〇 / FBD:×  | 1464ページ GT(_E), GE(_E), EQ(_E), LE(_E), LT(_E) |

- 「使用プログラム」欄はST（構造化テキスト）での使用が可能（〇）、FBD（ファンクションブロックダイアグラム）では使用不可（×）を示しています。
- 「参照先」欄は各ファンクションの詳細説明が記載されているページ番号とファンクション名を示しています。

</contents>
