ファイル名: MELSEC_iQ-R_プログラミングマニュアル（CPUユニット用命令_汎用FUN_汎用FB編）_page1536

<overview>
本ページは表形式で構成されており、命令ごとの処理時間に関するデータが示されています。テキスト部分はほとんどなく、表がメインです。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### 命令処理時間一覧表
命令名ごとに、条件別の処理時間（単位：マイクロ秒）が示されています。処理時間はCPUユニット別に「R00CPU、R01CPU」「R02CPU」「左記以外のCPUユニット」の3区分に分かれており、それぞれ最小値と最大値が記載されています。

| 命令名 | 条件 | R00CPU, R01CPU（最小） | R00CPU, R01CPU（最大） | R02CPU（最小） | R02CPU（最大） | 左記以外CPUユニット（最小） | 左記以外CPUユニット（最大） |
| ECALL Pn | ローカルポインタ、ファイル名="P1" | 90.000 | 145.500 | 83.500 | 134.000 | 74.700 | 118.400 |
| ECALL Pn (s1)～(s5) | ローカルポインタ、ファイル名="P1" | 96.000 | 149.900 | 95.000 | 148.900 | 94.500 | 148.400 |
| EFCALL Pn | ローカルポインタ、ファイル名="P1" | 85.000 | 130.000 | 82.000 | 127.000 | 72.400 | 114.300 |
| EFCALL Pn (s1)～(s5) | ローカルポインタ、ファイル名="P1" | 92.600 | 133.700 | 91.600 | 132.700 | 91.100 | 132.200 |
| XCALL Pn | － | 6.800 | 20.700 | 4.500 | 19.000 | 3.800 | 16.700 |
| FIFR | データ格納数=1 | 3.600 | 6.300 | 2.600 | 5.300 | 2.100 | 4.800 |
| FIFR | データ格納数=96 | 8.600 | 11.800 | 7.600 | 10.800 | 7.100 | 10.300 |
| FPOP | データ格納数=1 | 3.500 | 6.100 | 2.500 | 5.100 | 2.000 | 4.600 |
| FPOP | データ格納数=96 | 3.600 | 6.100 | 2.600 | 5.100 | 2.100 | 4.600 |
| FIFW | データ格納数=0 | 3.600 | 6.300 | 2.600 | 5.300 | 2.100 | 4.800 |
| FIFW | データ格納数=96 | 3.600 | 6.200 | 2.600 | 5.200 | 2.100 | 4.700 |
| FINS | データ格納数=0 | 4.000 | 7.300 | 3.000 | 6.300 | 2.500 | 5.800 |
| FINS | データ格納数=96 | 10.700 | 15.200 | 9.700 | 14.200 | 9.200 | 13.700 |
| FDEL | データ格納数=1 | 3.800 | 7.500 | 2.800 | 6.500 | 2.300 | 6.000 |
| FDEL | データ格納数=96 | 8.900 | 13.000 | 7.900 | 12.000 | 7.400 | 11.500 |
| S.DEVLD | － | 5.800 | 8.800 | 4.800 | 7.800 | 4.300 | 7.300 |
| SP.DEVST | － | 21.700 | 26.300 | 20.700 | 25.300 | 20.200 | 24.800 |
| SP.FREAD | － | 38.300 | 44.300 | 37.300 | 43.300 | 36.800 | 42.800 |
| SP.FWRITE | － | 43.000 | 48.900 | 42.000 | 47.900 | 41.500 | 47.400 |
| SP.FDELETE | － | 26.700 | 30.200 | 25.700 | 29.200 | 25.200 | 28.700 |
| SP.FCOPY | － | 31.100 | 34.300 | 30.100 | 33.300 | 29.600 | 32.800 |
| SP.FMOVE | － | 31.100 | 34.300 | 30.100 | 33.300 | 29.600 | 32.800 |
| SP.FRENAME | － | 32.500 | 35.900 | 31.500 | 34.900 | 31.000 | 34.400 |
| SP.FSTATUS | － | 28.700 | 32.000 | 27.700 | 31.000 | 27.200 | 30.500 |
| LEDR | 自己診断エラー未発生時 | 3.600 | 6.700 | 2.600 | 5.700 | 2.100 | 5.200 |
| LEDR | 自己診断エラー発生時（続行エラー発生、アナンシエータON(1個)時） | 16.500 | 27.400 | 15.500 | 26.400 | 15.000 | 25.900 |

- 「条件」欄には特定の条件やポインタの種類、データ格納数などが記載されています。
- 「処理時間」は命令の実行にかかる時間の最小値と最大値を示しており、CPUユニットごとに異なる値が設定されています。
- 一部の命令は複数の条件やポインタタイプにより処理時間が細かく区分されています。

以上の内容は、命令の実行性能評価や最適化に利用されることが想定されます。
</contents>
