ファイル名: HM-60252J_page411

<overview>
このページは主に表形式で構成されており、Modbus通信のレジスタアドレスに対応するパラメータR/Wコマンドの一覧を示しています。テキスト部分は各項目の名称、設定範囲、初期値、反映の有無、FAネットワーク命令コード（READ/WRITE）を説明しています。表は複数のパラメータに関する詳細情報を網羅的に記載しており、グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### パラメータR/Wコマンド一覧
Modbus通信のレジスタアドレス（上位・下位）に対応する各パラメータの名称、設定範囲、初期値、反映の有無、FAネットワーク命令コード（READおよびWRITE）が一覧で示されています。

- 設定範囲の例として、「0:軸IDで動作」「1:グループIDで動作」や「0～250 ms」などが記載されています。
- 初期値はほとんどが「0」で、反映は「C」となっています。
- FAネットワーク命令コードは16進数表記で示されており、READとWRITEのコードがそれぞれ対応しています。

### 表
#### Modbus通信レジスタアドレス対応パラメータ一覧

| Modbus通信レジスタアドレス 上位 | Modbus通信レジスタアドレス 下位 | 名称                              | 設定範囲                  | 初期値 | 反映 | FAネットワーク命令コード READ (16進) | FAネットワーク命令コード WRITE (16進) |
| 4702 (125Eh)                   | 4703 (125Fh)                   | R-IN15グループ動作モード 初期状態(NETC) | 同上                      | 0      | C    | 2351 (092Fh)                        | 6447 (192Fh)                         |
| 4704 (1260h)                   | 4705 (1261h)                   | R-OUT0 OFF出力遅延時間              | 0～250 ms                 | 0      | C    | 2352 (0930h)                        | 6448 (1930h)                         |
| 4706 (1262h)                   | 4707 (1263h)                   | R-OUT1 OFF出力遅延時間              | 同上                      | 0      | C    | 2353 (0931h)                        | 6449 (1931h)                         |
| 4708 (1264h)                   | 4709 (1265h)                   | R-OUT2 OFF出力遅延時間              | 同上                      | 0      | C    | 2354 (0932h)                        | 6450 (1932h)                         |
| 4710 (1266h)                   | 4711 (1267h)                   | R-OUT3 OFF出力遅延時間              | 同上                      | 0      | C    | 2355 (0933h)                        | 6451 (1933h)                         |
| 4712 (1268h)                   | 4713 (1269h)                   | R-OUT4 OFF出力遅延時間              | 同上                      | 0      | C    | 2356 (0934h)                        | 6452 (1934h)                         |
| 4714 (126Ah)                   | 4715 (126Bh)                   | R-OUT5 OFF出力遅延時間              | 同上                      | 0      | C    | 2357 (0935h)                        | 6453 (1935h)                         |
| 4716 (126Ch)                   | 4717 (126Dh)                   | R-OUT6 OFF出力遅延時間              | 同上                      | 0      | C    | 2358 (0936h)                        | 6454 (1936h)                         |
| 4718 (126Eh)                   | 4719 (126Fh)                   | R-OUT7 OFF出力遅延時間              | 同上                      | 0      | C    | 2359 (0937h)                        | 6455 (1937h)                         |
| 4720 (1270h)                   | 4721 (1271h)                   | R-OUT8 OFF出力遅延時間              | 同上                      | 0      | C    | 2360 (0938h)                        | 6456 (1938h)                         |
| 4722 (1272h)                   | 4723 (1273h)                   | R-OUT9 OFF出力遅延時間              | 同上                      | 0      | C    | 2361 (0939h)                        | 6457 (1939h)                         |
| 4724 (1274h)                   | 4725 (1275h)                   | R-OUT10 OFF出力遅延時間             | 同上                      | 0      | C    | 2362 (093Ah)                        | 6458 (193Ah)                         |

</contents>
