ファイル名: HM-60252J_page376

<overview>
本ページは「運転データR/Wコマンド」に関する説明で構成されています。ページ全体は以下のセクションで構成されています。
- テキスト部分：運転データNo.ごとの入力方法の概要説明と「直接参照(Modbus通信)」の説明
- 表部分：運転データNo.の基準アドレス一覧を示す大規模な表
- グラフ・図部分はなし
</overview>

<contents>
### テキスト
#### 10 運転データR/Wコマンド
運転データNo.ごとに入力する方法について説明しています。運転データに含まれるすべての設定項目を連続で入力する際は、指定されたアドレスを使用するよう案内しています。

#### 10-1 直接参照(Modbus通信)
直接参照とは、基準となる運転データNo.のレジスタアドレス（基準アドレス）を指定して入力する方法です。

### 表
#### 運転データNo.の基準アドレス一覧

| Modbus通信基準アドレス Dec | Modbus通信基準アドレス Hex | 運転データNo. | Modbus通信基準アドレス Dec | Modbus通信基準アドレス Hex | 運転データNo. | Modbus通信基準アドレス Dec | Modbus通信基準アドレス Hex | 運転データNo. | Modbus通信基準アドレス Dec | Modbus通信基準アドレス Hex | 運転データNo. |
| 6720                       | 1A40                       | No.9          | 9088                       | 2380                       | No.46         | 11456                      | 2CC0                       | No.83         | 13824                      | 3600                       | No.120        |
| 6784                       | 1A80                       | No.10         | 9152                       | 23C0                       | No.47         | 11520                      | 2D00                       | No.84         | 13888                      | 3640                       | No.121        |
| 6848                       | 1AC0                       | No.11         | 9216                       | 2400                       | No.48         | 11584                      | 2D40                       | No.85         | 13952                      | 3680                       | No.122        |
| 6912                       | 1B00                       | No.12         | 9280                       | 2440                       | No.49         | 11648                      | 2D80                       | No.86         | 14016                      | 36C0                       | No.123        |
| 6976                       | 1B40                       | No.13         | 9344                       | 2480                       | No.50         | 11712                      | 2DC0                       | No.87         | 14080                      | 3700                       | No.124        |
| 7040                       | 1B80                       | No.14         | 9408                       | 24C0                       | No.51         | 11776                      | 2E00                       | No.88         | 14144                      | 3740                       | No.125        |
| 7104                       | 1BC0                       | No.15         | 9472                       | 2500                       | No.52         | 11840                      | 2E40                       | No.89         | 14208                      | 3780                       | No.126        |
| 7168                       | 1C00                       | No.16         | 9536                       | 2540                       | No.53         | 11904                      | 2E80                       | No.90         | 14272                      | 37C0                       | No.127        |
| 7232                       | 1C40                       | No.17         | 9600                       | 2580                       | No.54         | 11968                      | 2EC0                       | No.91         | 14336                      | 3800                       | No.128        |
| 7296                       | 1C80                       | No.18         | 9664                       | 25C0                       | No.55         | 12032                      | 2F00                       | No.92         | 14400                      | 3840                       | No.129        |
| 7360                       | 1CC0                       | No.19         | 9728                       | 2600                       | No.56         | 12096                      | 2F40                       | No.93         | 14464                      | 3880                       | No.130        |
| 7424                       | 1D00                       | No.20         | 9792                       | 2640                       | No.57         | 12160                      | 2F80                       | No.94         | 14528                      | 38C0                       | No.131        |
| 7488                       | 1D40                       | No.21         | 9856                       | 2680                       | No.58         | 12224                      | 2FC0                       | No.95         | 14592                      | 3900                       | No.132        |
| 7552                       | 1D80                       | No.22         | 9920                       | 26C0                       | No.59         | 12288                      | 3000                       | No.96         | 14656                      | 3940                       | No.133        |
| 7616                       | 1DC0                       | No.23         | 9984                       | 2700                       | No.60         | 12352                      | 3040                       | No.97         | 14720                      | 3980                       | No.134        |
| 7680                       | 1E00                       | No.24         | 10048                      | 2740                       | No.61         | 12416                      | 3080                       | No.98         | 14784                      | 39C0                       | No.135        |
| 7744                       | 1E40                       | No.25         | 10112                      | 2780                       | No.62         | 12480                      | 30C0                       | No.99         | 14848                      | 3A00                       | No.136        |
| 7808                       | 1E80                       | No.26         | 10176                      | 27C0                       | No.63         | 12544                      | 3100                       | No.100        | 14912                      | 3A40                       | No.137        |
| 7872                       | 1EC0                       | No.27         | 10240                      | 2800                       | No.64         | 12608                      | 3140                       | No.101        | 14976                      | 3A80                       | No.138        |
| 7936                       | 1F00                       | No.28         | 10304                      | 2840                       | No.65         | 12672                      | 3180                       | No.102        | 15040                      | 3AC0                       | No.139        |
| 8000                       | 1F40                       | No.29         | 10368                      | 2880                       | No.66         | 12736                      | 31C0                       | No.103        | 15104                      | 3B00                       | No.140        |
| 8064                       | 1F80                       | No.30         | 10432                      | 28C0                       | No.67         | 12800                      | 3200                       | No.104        | 15168                      | 3B40                       | No.141        |
| 8128                       | 1FC0                       | No.31         | 10496                      | 2900                       | No.68         | 12864                      | 3240                       | No.105        | 15232                      | 3B80                       | No.142        |
| 8192                       | 2000                       | No.32         | 10560                      | 2940                       | No.69         | 12928                      | 3280                       | No.106        | 15296                      | 3BC0                       | No.143        |
| 8256                       | 2040                       | No.33         | 10624                      | 2980                       | No.70         | 12992                      | 32C0                       | No.107        | 15360                      | 3C00                       | No.144        |
| 8320                       | 2080                       | No.34         | 10688                      | 29C0                       | No.71         | 13056                      | 3300                       | No.108        | 15424                      | 3C40                       | No.145        |
| 8384                       | 20C0                       | No.35         | 10752                      | 2A00                       | No.72         | 13120                      | 3340                       | No.109        | 15488                      | 3C80                       | No.146        |
| 8448                       | 2100                       | No.36         | 10816                      | 2A40                       | No.73         | 13184                      | 3380                       | No.110        | 15552                      | 3CC0                       | No.147        |
</contents>
